Latitude (decimal degrees):	44.505
Longitude (decimal degrees):	11.345
Elevation (m):	47
Radiation database:	PVGIS-SARAH


Slope: 41 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150104:1810,0.0,0.0,0.0,6.28,1.56,0.0
20150104:1910,0.0,0.0,0.0,5.47,1.74,0.0
20150104:2010,0.0,0.0,0.0,4.67,1.93,0.0
20150104:2110,0.0,0.0,0.0,3.87,2.11,0.0
20150104:2210,0.0,0.0,0.0,2.93,2.15,0.0
20150104:2310,0.0,0.0,0.0,2.0,2.19,0.0
20150105:0010,0.0,0.0,0.0,1.07,2.23,0.0
20150105:0110,0.0,0.0,0.0,1.67,2.07,0.0
20150105:0210,0.0,0.0,0.0,2.28,1.9,0.0
20150105:0310,0.0,0.0,0.0,2.89,1.74,0.0
20150105:0410,0.0,0.0,0.0,1.9,1.95,0.0
20150105:0510,0.0,0.0,0.0,0.9,2.16,0.0
20150105:0610,0.0,0.0,0.0,-0.09,2.37,0.0
20150105:0710,0.0,0.0,2.08,1.39,2.62,0.0
20150105:0810,548340.0,625.87,10.18,2.87,2.86,0.0
20150105:0910,681000.0,793.29,16.66,4.35,3.1,0.0
20150105:1010,721150.0,857.11,21.03,5.68,2.53,0.0
20150105:1110,712880.0,859.9,22.84,7.01,1.95,0.0
20150105:1210,700540.0,857.52,21.88,8.33,1.38,0.0
20150105:1310,688270.0,838.31,18.26,8.54,1.54,0.0
20150105:1410,590910.0,706.94,12.38,8.74,1.7,0.0
20150105:1510,240690.0,284.58,4.72,8.94,1.86,0.0
20150105:1610,0.0,0.0,0.0,7.33,2.03,0.0
20150105:1710,0.0,0.0,0.0,5.72,2.19,0.0
20150105:1810,0.0,0.0,0.0,4.11,2.36,0.0
20150105:1910,0.0,0.0,0.0,3.64,2.35,0.0
20150105:2010,0.0,0.0,0.0,3.17,2.34,0.0
20150105:2110,0.0,0.0,0.0,2.71,2.33,0.0
20150105:2210,0.0,0.0,0.0,2.51,2.35,0.0
20150105:2310,0.0,0.0,0.0,2.31,2.37,0.0
20150106:0010,0.0,0.0,0.0,2.11,2.39,0.0
20150106:0110,0.0,0.0,0.0,2.3,2.21,0.0
20150106:0210,0.0,0.0,0.0,2.49,2.04,0.0
20150106:0310,0.0,0.0,0.0,2.69,1.86,0.0
20150106:0410,0.0,0.0,0.0,2.4,1.67,0.0
20150106:0510,0.0,0.0,0.0,2.12,1.49,0.0
20150106:0610,0.0,0.0,0.0,1.83,1.3,0.0
20150106:0710,0.0,0.0,2.11,3.0,1.05,0.0
20150106:0810,534090.0,626.98,10.22,4.17,0.81,0.0
20150106:0910,661270.0,802.91,16.73,5.33,0.57,0.0
20150106:1010,688490.0,843.3,21.12,6.86,0.84,0.0
20150106:1110,699960.0,861.72,22.95,8.39,1.12,0.0
20150106:1210,680040.0,836.59,22.01,9.91,1.39,0.0
20150106:1310,678930.0,832.31,18.4,9.39,1.35,0.0
20150106:1410,571410.0,686.14,12.53,8.87,1.31,0.0
20150106:1510,235440.0,278.81,4.87,8.34,1.27,0.0
20150106:1610,0.0,0.0,0.0,6.72,1.42,0.0
20150106:1710,0.0,0.0,0.0,5.1,1.57,0.0
20150106:1810,0.0,0.0,0.0,3.49,1.72,0.0
20150106:1910,0.0,0.0,0.0,3.04,1.66,0.0
20150106:2010,0.0,0.0,0.0,2.59,1.59,0.0
20150106:2110,0.0,0.0,0.0,2.15,1.52,0.0
20150106:2210,0.0,0.0,0.0,1.86,1.66,0.0
20150106:2310,0.0,0.0,0.0,1.58,1.81,0.0
20150107:0010,0.0,0.0,0.0,1.3,1.96,0.0
20150107:0110,0.0,0.0,0.0,0.92,2.09,0.0
20150107:0210,0.0,0.0,0.0,0.54,2.22,0.0
20150107:0310,0.0,0.0,0.0,0.17,2.34,0.0
20150107:0410,0.0,0.0,0.0,-0.18,2.23,0.0
20150107:0510,0.0,0.0,0.0,-0.53,2.12,0.0
20150107:0610,0.0,0.0,0.0,-0.88,2.01,0.0
20150107:0710,0.0,0.0,2.14,0.77,2.08,0.0
20150107:0810,71450.0,95.41,10.28,2.43,2.15,0.0
20150107:0910,154870.0,188.26,16.81,4.08,2.22,0.0
20150107:1010,175900.0,213.52,21.22,5.59,2.13,0.0
20150107:1110,270620.0,320.87,23.07,7.09,2.04,0.0
20150107:1210,457990.0,541.94,22.15,8.59,1.94,0.0
20150107:1310,638500.0,769.01,18.55,8.72,1.85,0.0
20150107:1410,577960.0,690.14,12.68,8.84,1.76,0.0
20150107:1510,241330.0,285.72,5.03,8.96,1.67,0.0
20150107:1610,0.0,0.0,0.0,7.96,1.65,0.0
20150107:1710,0.0,0.0,0.0,6.96,1.62,0.0
20150107:1810,0.0,0.0,0.0,5.97,1.6,0.0
20150107:1910,0.0,0.0,0.0,5.65,1.55,0.0
20150107:2010,0.0,0.0,0.0,5.33,1.5,0.0
20150107:2110,0.0,0.0,0.0,5.01,1.45,0.0
20150107:2210,0.0,0.0,0.0,4.81,1.35,0.0
20150107:2310,0.0,0.0,0.0,4.61,1.25,0.0
20150108:0010,0.0,0.0,0.0,4.42,1.14,0.0
20150108:0110,0.0,0.0,0.0,4.52,1.17,0.0
20150108:0210,0.0,0.0,0.0,4.63,1.19,0.0
20150108:0310,0.0,0.0,0.0,4.74,1.21,0.0
20150108:0410,0.0,0.0,0.0,4.08,1.04,0.0
20150108:0510,0.0,0.0,0.0,3.41,0.87,0.0
20150108:0610,0.0,0.0,0.0,2.75,0.7,0.0
20150108:0710,0.0,0.0,2.18,4.03,0.76,0.0
20150108:0810,377210.0,439.63,10.34,5.32,0.81,0.0
20150108:0910,575910.0,690.03,16.89,6.6,0.87,0.0
20150108:1010,642180.0,782.64,21.33,7.88,0.97,0.0
20150108:1110,687530.0,849.01,23.2,9.16,1.07,0.0
20150108:1210,612270.0,750.28,22.29,10.44,1.17,0.0
20150108:1310,645640.0,797.1,18.71,10.22,0.93,0.0
20150108:1410,544500.0,661.67,12.84,10.0,0.69,0.0
20150108:1510,182860.0,222.54,5.19,9.78,0.44,0.0
20150108:1610,0.0,0.0,0.0,8.6,0.77,0.0
20150108:1710,0.0,0.0,0.0,7.41,1.1,0.0
20150108:1810,0.0,0.0,0.0,6.23,1.43,0.0
20150108:1910,0.0,0.0,0.0,5.81,1.4,0.0
20150108:2010,0.0,0.0,0.0,5.4,1.36,0.0
20150108:2110,0.0,0.0,0.0,4.99,1.32,0.0
20150108:2210,0.0,0.0,0.0,5.24,1.55,0.0
20150108:2310,0.0,0.0,0.0,5.49,1.77,0.0
20150109:0010,0.0,0.0,0.0,5.75,2.0,0.0
20150109:0110,0.0,0.0,0.0,6.13,1.94,0.0
20150109:0210,0.0,0.0,0.0,6.52,1.88,0.0
20150109:0310,0.0,0.0,0.0,6.91,1.82,0.0
20150109:0410,0.0,0.0,0.0,6.83,1.58,0.0
20150109:0510,0.0,0.0,0.0,6.75,1.33,0.0
20150109:0610,0.0,0.0,0.0,6.67,1.09,0.0
20150109:0710,0.0,0.0,2.23,7.48,0.89,0.0
20150109:0810,173510.0,211.79,10.4,8.29,0.69,0.0
20150109:0910,197260.0,241.2,16.98,9.1,0.48,0.0
20150109:1010,161670.0,202.61,21.44,9.7,0.49,0.0
20150109:1110,546170.0,670.31,23.34,10.29,0.5,0.0
20150109:1210,312530.0,378.65,22.44,10.88,0.51,0.0
20150109:1310,644610.0,800.63,18.87,10.74,0.76,0.0
20150109:1410,633120.0,778.24,13.01,10.59,1.02,0.0
20150109:1510,241370.0,288.47,5.36,10.44,1.27,0.0
20150109:1610,0.0,0.0,0.0,9.58,1.22,0.0
20150109:1710,0.0,0.0,0.0,8.72,1.18,0.0
20150109:1810,0.0,0.0,0.0,7.86,1.13,0.0
20150109:1910,0.0,0.0,0.0,7.71,1.62,0.0
20150109:2010,0.0,0.0,0.0,7.56,2.11,0.0
20150109:2110,0.0,0.0,0.0,7.42,2.61,0.0
20150109:2210,0.0,0.0,0.0,7.43,2.45,0.0
20150109:2310,0.0,0.0,0.0,7.44,2.29,0.0
20150110:0010,0.0,0.0,0.0,7.46,2.14,0.0
20150110:0110,0.0,0.0,0.0,7.5,1.61,0.0
20150110:0210,0.0,0.0,0.0,7.54,1.09,0.0
20150110:0310,0.0,0.0,0.0,7.58,0.57,0.0
20150110:0410,0.0,0.0,0.0,7.38,0.96,0.0
20150110:0510,0.0,0.0,0.0,7.18,1.36,0.0
20150110:0610,0.0,0.0,0.0,6.98,1.75,0.0
20150110:0710,0.0,0.0,2.28,7.87,1.53,0.0
20150110:0810,101060.0,131.22,10.48,8.76,1.31,0.0
20150110:0910,185280.0,227.54,17.07,9.65,1.09,0.0
20150110:1010,217220.0,265.6,21.56,10.85,1.56,0.0
20150110:1110,482780.0,581.76,23.48,12.04,2.03,0.0
20150110:1210,579940.0,705.34,22.6,13.23,2.5,0.0
20150110:1310,123520.0,160.35,19.04,12.75,2.21,0.0
20150110:1410,303410.0,363.72,13.18,12.27,1.93,0.0
20150110:1510,226760.0,273.14,5.53,11.79,1.64,0.0
20150110:1610,0.0,0.0,0.0,10.69,1.88,0.0
20150110:1710,0.0,0.0,0.0,9.59,2.11,0.0
20150110:1810,0.0,0.0,0.0,8.5,2.34,0.0
20150110:1910,0.0,0.0,0.0,8.22,2.23,0.0
20150110:2010,0.0,0.0,0.0,7.95,2.11,0.0
20150110:2110,0.0,0.0,0.0,7.68,1.99,0.0
20150110:2210,0.0,0.0,0.0,7.44,2.15,0.0
20150110:2310,0.0,0.0,0.0,7.2,2.31,0.0
20150111:0010,0.0,0.0,0.0,6.96,2.47,0.0
20150111:0110,0.0,0.0,0.0,6.78,2.21,0.0
20150111:0210,0.0,0.0,0.0,6.61,1.95,0.0
20150111:0310,0.0,0.0,0.0,6.44,1.7,0.0
20150111:0410,0.0,0.0,0.0,6.52,1.51,0.0
20150111:0510,0.0,0.0,0.0,6.59,1.32,0.0
20150111:0610,0.0,0.0,0.0,6.67,1.13,0.0
20150111:0710,640.0,7.21,2.34,7.55,1.09,0.0
20150111:0810,506540.0,603.63,10.56,8.44,1.04,0.0
20150111:0910,599200.0,729.23,17.17,9.32,0.99,0.0
20150111:1010,647710.0,788.42,21.68,10.33,1.87,0.0
20150111:1110,671470.0,815.07,23.63,11.33,2.75,0.0
20150111:1210,629400.0,757.15,22.77,12.33,3.63,0.0
20150111:1310,62710.0,90.06,19.21,12.26,4.48,0.0
20150111:1410,118730.0,152.63,13.36,12.19,5.34,0.0
20150111:1510,292350.0,343.1,5.71,12.11,6.19,0.0
20150111:1610,0.0,0.0,0.0,10.93,5.17,0.0
20150111:1710,0.0,0.0,0.0,9.75,4.14,0.0
20150111:1810,0.0,0.0,0.0,8.58,3.12,0.0
20150111:1910,0.0,0.0,0.0,7.44,3.21,0.0
20150111:2010,0.0,0.0,0.0,6.31,3.31,0.0
20150111:2110,0.0,0.0,0.0,5.18,3.41,0.0
20150111:2210,0.0,0.0,0.0,4.47,3.68,0.0
20150111:2310,0.0,0.0,0.0,3.76,3.95,0.0
20150112:0010,0.0,0.0,0.0,3.06,4.22,0.0
20150112:0110,0.0,0.0,0.0,2.72,3.68,0.0
20150112:0210,0.0,0.0,0.0,2.38,3.14,0.0
20150112:0310,0.0,0.0,0.0,2.04,2.59,0.0
20150112:0410,0.0,0.0,0.0,1.48,2.55,0.0
20150112:0510,0.0,0.0,0.0,0.91,2.5,0.0
20150112:0610,0.0,0.0,0.0,0.35,2.46,0.0
20150112:0710,430.0,6.6,2.41,1.76,2.2,0.0
20150112:0810,538510.0,620.42,10.64,3.18,1.95,0.0
20150112:0910,640670.0,756.95,17.28,4.59,1.7,0.0
20150112:1010,744230.0,908.07,21.82,6.18,1.32,0.0
20150112:1110,709070.0,874.85,23.78,7.77,0.94,0.0
20150112:1210,680000.0,848.76,22.94,9.35,0.57,0.0
20150112:1310,671460.0,833.13,19.39,10.07,0.88,0.0
20150112:1410,602750.0,736.0,13.54,10.79,1.19,0.0
20150112:1510,317860.0,378.16,5.89,11.51,1.5,0.0
20150112:1610,0.0,0.0,0.0,9.89,1.92,0.0
20150112:1710,0.0,0.0,0.0,8.27,2.34,0.0
20150112:1810,0.0,0.0,0.0,6.66,2.76,0.0
20150112:1910,0.0,0.0,0.0,6.13,2.92,0.0
20150112:2010,0.0,0.0,0.0,5.6,3.09,0.0
20150112:2110,0.0,0.0,0.0,5.08,3.26,0.0
20150112:2210,0.0,0.0,0.0,4.83,3.15,0.0
20150112:2310,0.0,0.0,0.0,4.58,3.04,0.0
20150113:0010,0.0,0.0,0.0,4.34,2.94,0.0
20150113:0110,0.0,0.0,0.0,3.77,2.88,0.0
20150113:0210,0.0,0.0,0.0,3.2,2.82,0.0
20150113:0310,0.0,0.0,0.0,2.64,2.76,0.0
20150113:0410,0.0,0.0,0.0,2.54,2.75,0.0
20150113:0510,0.0,0.0,0.0,2.44,2.74,0.0
20150113:0610,0.0,0.0,0.0,2.34,2.73,0.0
20150113:0710,940.0,7.8,2.48,3.74,2.47,0.0
20150113:0810,558300.0,648.89,10.73,5.14,2.22,0.0
20150113:0910,678070.0,810.38,17.4,6.54,1.96,0.0
20150113:1010,703170.0,858.15,21.96,8.01,1.48,0.0
20150113:1110,710880.0,884.71,23.95,9.48,0.99,0.0
20150113:1210,682100.0,860.59,23.12,10.94,0.51,0.0
20150113:1310,667220.0,829.05,19.58,10.32,0.84,0.0
20150113:1410,119030.0,152.5,13.73,9.69,1.17,0.0
20150113:1510,402510.0,473.32,6.07,9.06,1.5,0.0
20150113:1610,0.0,0.0,0.0,7.69,1.7,0.0
20150113:1710,0.0,0.0,0.0,6.32,1.89,0.0
20150113:1810,0.0,0.0,0.0,4.96,2.08,0.0
20150113:1910,0.0,0.0,0.0,4.59,1.98,0.0
20150113:2010,0.0,0.0,0.0,4.22,1.88,0.0
20150113:2110,0.0,0.0,0.0,3.85,1.78,0.0
20150113:2210,0.0,0.0,0.0,3.66,2.17,0.0
20150113:2310,0.0,0.0,0.0,3.47,2.55,0.0
20150114:0010,0.0,0.0,0.0,3.28,2.94,0.0
20150114:0110,0.0,0.0,0.0,3.69,2.93,0.0
20150114:0210,0.0,0.0,0.0,4.1,2.92,0.0
20150114:0310,0.0,0.0,0.0,4.51,2.91,0.0
20150114:0410,0.0,0.0,0.0,4.56,2.47,0.0
20150114:0510,0.0,0.0,0.0,4.62,2.04,0.0
20150114:0610,0.0,0.0,0.0,4.67,1.6,0.0
20150114:0710,910.0,7.79,2.56,5.79,1.49,0.0
20150114:0810,550700.0,651.65,10.83,6.91,1.39,0.0
20150114:0910,668190.0,812.56,17.52,8.02,1.28,0.0
20150114:1010,696600.0,860.89,22.11,8.86,1.02,0.0
20150114:1110,463610.0,559.64,24.12,9.69,0.75,0.0
20150114:1210,34240.0,55.43,23.3,10.52,0.48,0.0
20150114:1310,683860.0,854.64,19.77,10.53,0.78,0.0
20150114:1410,513690.0,619.94,13.92,10.54,1.07,0.0
20150114:1510,338090.0,400.64,6.26,10.55,1.37,0.0
20150114:1610,0.0,0.0,0.0,9.75,1.51,0.0
20150114:1710,0.0,0.0,0.0,8.95,1.66,0.0
20150114:1810,0.0,0.0,0.0,8.15,1.81,0.0
20150114:1910,0.0,0.0,0.0,7.52,1.97,0.0
20150114:2010,0.0,0.0,0.0,6.89,2.13,0.0
20150114:2110,0.0,0.0,0.0,6.26,2.29,0.0
20150114:2210,0.0,0.0,0.0,5.89,2.17,0.0
20150114:2310,0.0,0.0,0.0,5.52,2.06,0.0
20150115:0010,0.0,0.0,0.0,5.16,1.94,0.0
20150115:0110,0.0,0.0,0.0,5.2,1.89,0.0
20150115:0210,0.0,0.0,0.0,5.25,1.84,0.0
20150115:0310,0.0,0.0,0.0,5.3,1.79,0.0
20150115:0410,0.0,0.0,0.0,4.98,1.94,0.0
20150115:0510,0.0,0.0,0.0,4.67,2.1,0.0
20150115:0610,0.0,0.0,0.0,4.35,2.25,0.0
20150115:0710,1190.0,8.39,2.65,5.47,1.88,0.0
20150115:0810,416500.0,485.9,10.94,6.6,1.5,0.0
20150115:0910,573930.0,688.73,17.65,7.72,1.13,0.0
20150115:1010,515960.0,620.4,22.26,8.72,0.99,0.0
20150115:1110,302140.0,363.81,24.29,9.72,0.86,0.0
20150115:1210,219710.0,269.93,23.49,10.72,0.72,0.0
20150115:1310,639260.0,786.01,19.97,10.48,1.18,0.0
20150115:1410,540480.0,648.45,14.12,10.23,1.65,0.0
20150115:1510,429500.0,505.36,6.46,9.98,2.11,0.0
20150115:1610,0.0,0.0,0.0,8.88,1.59,0.0
20150115:1710,0.0,0.0,0.0,7.78,1.06,0.0
20150115:1810,0.0,0.0,0.0,6.68,0.54,0.0
20150115:1910,0.0,0.0,0.0,6.08,1.14,0.0
20150115:2010,0.0,0.0,0.0,5.48,1.74,0.0
20150115:2110,0.0,0.0,0.0,4.89,2.34,0.0
20150115:2210,0.0,0.0,0.0,4.8,2.61,0.0
20150115:2310,0.0,0.0,0.0,4.71,2.88,0.0
20150116:0010,0.0,0.0,0.0,4.62,3.14,0.0
20150116:0110,0.0,0.0,0.0,5.34,3.14,0.0
20150116:0210,0.0,0.0,0.0,6.06,3.14,0.0
20150116:0310,0.0,0.0,0.0,6.79,3.13,0.0
20150116:0410,0.0,0.0,0.0,6.93,2.91,0.0
20150116:0510,0.0,0.0,0.0,7.07,2.69,0.0
20150116:0610,0.0,0.0,0.0,7.21,2.47,0.0
20150116:0710,890.0,7.78,2.74,8.01,2.47,0.0
20150116:0810,631840.0,752.06,11.05,8.81,2.48,0.0
20150116:0910,684050.0,825.39,17.79,9.61,2.48,0.0
20150116:1010,411070.0,486.95,22.42,10.35,2.73,0.0
20150116:1110,248920.0,300.97,24.47,11.08,2.98,0.0
20150116:1210,70540.0,99.27,23.69,11.81,3.23,0.0
20150116:1310,11830.0,26.01,20.17,11.42,2.9,0.0
20150116:1410,5530.0,16.42,14.32,11.03,2.57,0.0
20150116:1510,0.0,5.32,6.66,10.63,2.25,0.0
20150116:1610,0.0,0.0,0.0,10.31,2.15,0.0
20150116:1710,0.0,0.0,0.0,9.98,2.05,0.0
20150116:1810,0.0,0.0,0.0,9.66,1.94,0.0
20150116:1910,0.0,0.0,0.0,9.69,2.14,0.0
20150116:2010,0.0,0.0,0.0,9.73,2.33,0.0
20150116:2110,0.0,0.0,0.0,9.77,2.52,0.0
20150116:2210,0.0,0.0,0.0,10.0,2.58,0.0
20150116:2310,0.0,0.0,0.0,10.24,2.64,0.0
20150117:0010,0.0,0.0,0.0,10.48,2.7,0.0
20150117:0110,0.0,0.0,0.0,10.5,2.86,0.0
20150117:0210,0.0,0.0,0.0,10.52,3.01,0.0
20150117:0310,0.0,0.0,0.0,10.54,3.16,0.0
20150117:0410,0.0,0.0,0.0,10.55,3.35,0.0
20150117:0510,0.0,0.0,0.0,10.55,3.54,0.0
20150117:0610,0.0,0.0,0.0,10.56,3.72,0.0
20150117:0710,0.0,1.79,2.84,11.06,3.76,0.0
20150117:0810,9260.0,22.25,11.17,11.56,3.79,0.0
20150117:0910,47010.0,71.25,17.94,12.05,3.82,0.0
20150117:1010,303520.0,362.88,22.59,12.12,3.95,0.0
20150117:1110,739230.0,895.34,24.66,12.19,4.08,0.0
20150117:1210,558120.0,664.62,23.9,12.25,4.21,0.0
20150117:1310,292770.0,350.22,20.38,12.02,3.59,0.0
20150117:1410,171280.0,211.83,14.53,11.78,2.97,0.0
20150117:1510,431660.0,511.0,6.86,11.54,2.34,0.0
20150117:1610,0.0,0.0,0.0,10.57,2.38,0.0
20150117:1710,0.0,0.0,0.0,9.6,2.41,0.0
20150117:1810,0.0,0.0,0.0,8.64,2.44,0.0
20150117:1910,0.0,0.0,0.0,8.28,2.38,0.0
20150117:2010,0.0,0.0,0.0,7.92,2.31,0.0
20150117:2110,0.0,0.0,0.0,7.56,2.25,0.0
20150117:2210,0.0,0.0,0.0,7.22,2.29,0.0
20150117:2310,0.0,0.0,0.0,6.88,2.33,0.0
20150118:0010,0.0,0.0,0.0,6.55,2.37,0.0
20150118:0110,0.0,0.0,0.0,6.3,2.27,0.0
20150118:0210,0.0,0.0,0.0,6.06,2.17,0.0
20150118:0310,0.0,0.0,0.0,5.82,2.07,0.0
20150118:0410,0.0,0.0,0.0,5.45,2.22,0.0
20150118:0510,0.0,0.0,0.0,5.08,2.37,0.0
20150118:0610,0.0,0.0,0.0,4.71,2.52,0.0
20150118:0710,1180.0,8.37,2.94,5.78,1.85,0.0
20150118:0810,568700.0,676.5,11.3,6.86,1.17,0.0
20150118:0910,671980.0,830.9,18.09,7.93,0.5,0.0
20150118:1010,714960.0,887.39,22.77,8.8,0.97,0.0
20150118:1110,719440.0,889.63,24.86,9.67,1.44,0.0
20150118:1210,717540.0,883.47,24.11,10.54,1.92,0.0
20150118:1310,719100.0,884.63,20.6,10.31,1.84,0.0
20150118:1410,625260.0,756.82,14.74,10.08,1.76,0.0
20150118:1510,494300.0,586.39,7.06,9.85,1.68,0.0
20150118:1610,0.0,0.0,0.0,8.24,1.47,0.0
20150118:1710,0.0,0.0,0.0,6.63,1.26,0.0
20150118:1810,0.0,0.0,0.0,5.03,1.05,0.0
20150118:1910,0.0,0.0,0.0,4.79,1.29,0.0
20150118:2010,0.0,0.0,0.0,4.56,1.54,0.0
20150118:2110,0.0,0.0,0.0,4.33,1.78,0.0
20150118:2210,0.0,0.0,0.0,4.05,1.95,0.0
20150118:2310,0.0,0.0,0.0,3.78,2.12,0.0
20150119:0010,0.0,0.0,0.0,3.51,2.29,0.0
20150119:0110,0.0,0.0,0.0,3.24,2.01,0.0
20150119:0210,0.0,0.0,0.0,2.98,1.73,0.0
20150119:0310,0.0,0.0,0.0,2.72,1.45,0.0
